source,target
1440956484309897216,417100552
1440956484309897216,41872843
1440956484309897216,419887180
1440956484309897216,4210241608
1440956484309897216,42196445
1440956484309897216,4228898953
1440956484309897216,427867202
1440956484309897216,4287064415
1440956484309897216,429824125
1440956484309897216,43129645
1440956484309897216,431566822
1440956484309897216,433286002
1440956484309897216,437581946
1440956484309897216,43816090
1440956484309897216,440967890
1440956484309897216,44594596
1440956484309897216,44622713
1440956484309897216,446535487
1440956484309897216,4487645412
1440956484309897216,45384584
1440956484309897216,45396268
1440956484309897216,46105717
1440956484309897216,463281028
1440956484309897216,466568148
1440956484309897216,46928547
1440956484309897216,46987617
1440956484309897216,471932074
1440956484309897216,471993505
1440956484309897216,473542946
1440956484309897216,476149882
1440956484309897216,47656042
1440956484309897216,4776941921
1440956484309897216,481439919
1440956484309897216,481657210
1440956484309897216,4845251313
1440956484309897216,4850465548
1440956484309897216,4868866541
1440956484309897216,4894639673
1440956484309897216,492945748
1440956484309897216,499528137
1440956484309897216,500103814
1440956484309897216,50026664
1440956484309897216,503144522
1440956484309897216,5053611
1440956484309897216,50636347
1440956484309897216,507251783
1440956484309897216,51013220
1440956484309897216,51029850
1440956484309897216,52518457
1440956484309897216,535716502
1440956484309897216,54884641
1440956484309897216,54926175
1440956484309897216,554376761
1440956484309897216,554874412
1440956484309897216,55605714
1440956484309897216,55805735
1440956484309897216,559676131
1440956484309897216,571005867
1440956484309897216,575490604
1440956484309897216,57689577
1440956484309897216,579649487
1440956484309897216,580757076
1440956484309897216,593971662
1440956484309897216,59788554
1440956484309897216,599249074
1440956484309897216,60486251
1440956484309897216,60488034
1440956484309897216,60863817
1440956484309897216,613304383
1440956484309897216,614699994
1440956484309897216,620053137
1440956484309897216,620173124
1440956484309897216,62593076
1440956484309897216,62887551
1440956484309897216,630953198
1440956484309897216,63146369
1440956484309897216,65361179
1440956484309897216,6601232
1440956484309897216,67138528
1440956484309897216,69222389
1440956484309897216,69519729
1440956484309897216,70148433
1440956484309897216,706165628726546432
1440956484309897216,709331756734947328
1440956484309897216,71354375
1440956484309897216,715578459779702784
1440956484309897216,716021660462161920
1440956484309897216,71735067
1440956484309897216,720363471234158592
1440956484309897216,72349768
1440956484309897216,724305444332777472
1440956484309897216,73195179
1440956484309897216,736156961910194176
1440956484309897216,737682795498070016
1440956484309897216,739171924811649024
1440956484309897216,741337202
1440956484309897216,74244151
1440956484309897216,74291673
1440956484309897216,743090051278635008
1440956484309897216,744980690773680128
1440956484309897216,745029379974127616
1440956484309897216,747796793765797888
1440956484309897216,74984630
1440956484309897216,75123081
1440956484309897216,751882224434315264
1440956484309897216,7528482
1440956484309897216,753535538016157696
1440956484309897216,75896442
1440956484309897216,764760029861904384
1440956484309897216,769519633
1440956484309897216,770263988823322624
1440956484309897216,770709495282532352
1440956484309897216,772256027978919936
1440956484309897216,77317931
1440956484309897216,776429483515609088
1440956484309897216,778331868693430272
1440956484309897216,782813999884828672
1440956484309897216,783003912575954944
1440956484309897216,787803608
1440956484309897216,792480469568937984
1440956484309897216,796087117684281344
1440956484309897216,801359481607245824
1440956484309897216,801704826736377856
